p_pdb_id,Residue length,actual_hinge_cnt,sigma,monge_rate_1
pdb2b44_A_original_CA_coordinates.csv,129,5,0.5,0.894325
pdb6gjy_A_original_CA_coordinates.csv,165,5,0.5,0.956537
pdb3hc4_H_original_CA_coordinates.csv,212,5,0.5,0.893825
pdb7lg4_A_original_CA_coordinates.csv,227,5,0.5,0.906868
pdb2lgh_A_original_CA_coordinates.csv,144,5,0.5,0.810346
pdb7wxl_A_original_CA_coordinates.csv,310,5,0.5,0.936788
pdb5qfq_A_original_CA_coordinates.csv,284,5,0.5,0.938605
pdb4eem_A_original_CA_coordinates.csv,273,5,0.5,0.962233
pdb4whn_A_original_CA_coordinates.csv,170,5,0.5,0.896646
pdb6i62_A_original_CA_coordinates.csv,224,5,0.5,0.916501
pdb4lgn_A_original_CA_coordinates.csv,739,5,0.5,0.907011
pdb4yjv_A_original_CA_coordinates.csv,263,5,0.5,0.88421
pdb1zja_A_original_CA_coordinates.csv,557,5,0.5,0.915052
pdb8h63_A_original_CA_coordinates.csv,462,5,0.5,0.976569
pdb1kz1_A_original_CA_coordinates.csv,150,5,0.5,0.941855
pdb6mt3_A_original_CA_coordinates.csv,276,5,0.5,0.954875
pdb4jsf_A_original_CA_coordinates.csv,407,5,0.5,0.885141
pdb5ecw_A_original_CA_coordinates.csv,132,5,0.5,0.905911
pdb7tbr_A_original_CA_coordinates.csv,142,5,0.5,0.945846
pdb6y9f_A_original_CA_coordinates.csv,288,5,0.5,0.857939
pdb8e8j_A_original_CA_coordinates.csv,425,5,0.5,0.900211
pdb3ze8_A_original_CA_coordinates.csv,277,5,0.5,0.965216
pdb2lc9_A_original_CA_coordinates.csv,164,5,0.5,0.944282
pdb2hdj_A_original_CA_coordinates.csv,322,5,0.5,0.978315
pdb3uiq_A_original_CA_coordinates.csv,901,5,0.5,0.912003
pdb3h54_A_original_CA_coordinates.csv,387,5,0.5,0.913145
pdb4q81_A_original_CA_coordinates.csv,257,5,0.5,0.918487
pdb8f7h_A_original_CA_coordinates.csv,428,5,0.5,0.922898
pdb5qzq_A_original_CA_coordinates.csv,237,5,0.5,0.877745
pdb3bvl_A_original_CA_coordinates.csv,172,5,0.5,0.916145
pdb7lsa_A_original_CA_coordinates.csv,760,5,0.5,0.973177
pdb6pvz_A_original_CA_coordinates.csv,188,5,0.5,0.974231
pdb7kua_A_original_CA_coordinates.csv,149,5,0.5,0.922008
pdb4wpn_A_original_CA_coordinates.csv,494,5,0.5,0.940822
pdb5hhj_A_original_CA_coordinates.csv,294,5,0.5,0.883266
pdb4idz_A_original_CA_coordinates.csv,437,5,0.5,0.956096
pdb3nfa_A_original_CA_coordinates.csv,149,5,0.5,0.928624
pdb8j0v_X_original_CA_coordinates.csv,173,5,0.5,0.91077
pdb6z8j_A_original_CA_coordinates.csv,279,5,0.5,0.918115
pdb3mfs_A_original_CA_coordinates.csv,303,5,0.5,0.906095
pdb2bid_A_original_CA_coordinates.csv,197,5,0.5,0.937477
pdb4icy_A_original_CA_coordinates.csv,462,5,0.5,0.89253
pdb4y4b_A_original_CA_coordinates.csv,330,5,0.5,0.97125
pdb4tjw_A_original_CA_coordinates.csv,199,5,0.5,0.888967
pdb5nkl_A_original_CA_coordinates.csv,540,5,0.5,0.886663
pdb5yjk_A_original_CA_coordinates.csv,221,5,0.5,0.950764
pdb5chu_A_original_CA_coordinates.csv,359,5,0.5,0.978024
pdb6gvi_A_original_CA_coordinates.csv,910,5,0.5,0.975833
pdb3k50_A_original_CA_coordinates.csv,376,5,0.5,0.973583
pdb1gx4_A_original_CA_coordinates.csv,287,5,0.5,0.947265
pdb7p49_A_original_CA_coordinates.csv,276,5,0.5,0.985763
pdb8cif_H_original_CA_coordinates.csv,255,5,0.5,0.932653
pdb6ir6_A_original_CA_coordinates.csv,232,5,0.5,0.955943
pdb4g4q_A_original_CA_coordinates.csv,254,5,0.5,0.838018
pdb4zgj_A_original_CA_coordinates.csv,204,5,0.5,0.902263
pdb4p31_A_original_CA_coordinates.csv,230,5,0.5,0.946402
pdb6hos_A_original_CA_coordinates.csv,213,5,0.5,0.918331
pdb2f8d_A_original_CA_coordinates.csv,221,5,0.5,0.963272
pdb2w8h_A_original_CA_coordinates.csv,322,5,0.5,0.91029
pdb8elt_A_original_CA_coordinates.csv,166,5,0.5,0.962819
pdb6qi3_A_original_CA_coordinates.csv,298,5,0.5,0.952429
pdb4n2r_A_original_CA_coordinates.csv,306,5,0.5,0.940483
pdb4o04_A_original_CA_coordinates.csv,208,5,0.5,0.917993
