p_pdb_id,Residue length,actual_hinge_cnt,sigma,delta_g
pdb2b44_A_original_CA_coordinates.csv,129,2,0.5,95.2379
pdb6gjy_A_original_CA_coordinates.csv,165,2,0.5,1621.06
pdb3hc4_H_original_CA_coordinates.csv,212,2,0.5,536.017
pdb7lg4_A_original_CA_coordinates.csv,227,2,0.5,1554.08
pdb2lgh_A_original_CA_coordinates.csv,144,2,0.5,735.259
pdb7wxl_A_original_CA_coordinates.csv,310,2,0.5,3291.93
pdb7ycq_A_original_CA_coordinates.csv,111,2,0.5,137.394
pdb5qfq_A_original_CA_coordinates.csv,284,2,0.5,996.628
pdb4eem_A_original_CA_coordinates.csv,273,2,0.5,1760.62
pdb4whn_A_original_CA_coordinates.csv,170,2,0.5,248.506
pdb3ju3_A_original_CA_coordinates.csv,113,2,0.5,2672.99
pdb6i62_A_original_CA_coordinates.csv,224,2,0.5,2077.07
pdb4lgn_A_original_CA_coordinates.csv,739,2,0.5,1399.98
pdb4yjv_A_original_CA_coordinates.csv,263,2,0.5,3113.96
pdb2edl_A_original_CA_coordinates.csv,110,2,0.5,3358.42
pdb1zja_A_original_CA_coordinates.csv,557,2,0.5,2602.81
pdb8h63_A_original_CA_coordinates.csv,462,2,0.5,1766.68
pdb1kz1_A_original_CA_coordinates.csv,150,2,0.5,2719.73
pdb6mt3_A_original_CA_coordinates.csv,276,2,0.5,1663.3
pdb4jsf_A_original_CA_coordinates.csv,407,2,0.5,595.065
pdb5ecw_A_original_CA_coordinates.csv,132,2,0.5,16.0467
pdb7tbr_A_original_CA_coordinates.csv,142,2,0.5,237.619
pdb6y9f_A_original_CA_coordinates.csv,288,2,0.5,2052.55
pdb8e8j_A_original_CA_coordinates.csv,425,2,0.5,7942.63
pdb3ze8_A_original_CA_coordinates.csv,277,2,0.5,200.728
pdb2j4m_A_original_CA_coordinates.csv,100,2,0.5,51.1532
pdb2lc9_A_original_CA_coordinates.csv,164,2,0.5,445.319
pdb2hdj_A_original_CA_coordinates.csv,322,2,0.5,1999.83
pdb3uiq_A_original_CA_coordinates.csv,901,2,0.5,4419.99
pdb3h54_A_original_CA_coordinates.csv,387,2,0.5,470.587
pdb1j3x_A_original_CA_coordinates.csv,77,2,0.5,145.182
pdb4q81_A_original_CA_coordinates.csv,257,2,0.5,315.07
pdb8f7h_A_original_CA_coordinates.csv,428,2,0.5,734.288
pdb5qzq_A_original_CA_coordinates.csv,237,2,0.5,4547.8
pdb3bvl_A_original_CA_coordinates.csv,172,2,0.5,10891.6
pdb7lsa_A_original_CA_coordinates.csv,760,2,0.5,4557.8
pdb6pvz_A_original_CA_coordinates.csv,188,2,0.5,4300.64
pdb7kua_A_original_CA_coordinates.csv,149,2,0.5,1769.09
pdb4wpn_A_original_CA_coordinates.csv,494,2,0.5,1487.48
pdb5hhj_A_original_CA_coordinates.csv,294,2,0.5,93.0781
pdb4idz_A_original_CA_coordinates.csv,437,2,0.5,377.772
pdb3nfa_A_original_CA_coordinates.csv,149,2,0.5,701.85
pdb8j0v_X_original_CA_coordinates.csv,173,2,0.5,18946.7
pdb6z8j_A_original_CA_coordinates.csv,279,2,0.5,1012.57
pdb3mfs_A_original_CA_coordinates.csv,303,2,0.5,658.649
pdb2bid_A_original_CA_coordinates.csv,197,2,0.5,106.263
pdb4icy_A_original_CA_coordinates.csv,462,2,0.5,2154.08
pdb4y4b_A_original_CA_coordinates.csv,330,2,0.5,2002.33
pdb4tjw_A_original_CA_coordinates.csv,199,2,0.5,591.572
pdb5nkl_A_original_CA_coordinates.csv,540,2,0.5,31273.2
pdb5yjk_A_original_CA_coordinates.csv,221,2,0.5,446.222
pdb5chu_A_original_CA_coordinates.csv,359,2,0.5,1677.06
pdb7ea2_B_original_CA_coordinates.csv,107,2,0.5,777.755
pdb6gvi_A_original_CA_coordinates.csv,910,2,0.5,7428.48
pdb3k50_A_original_CA_coordinates.csv,376,2,0.5,193.965
pdb1gx4_A_original_CA_coordinates.csv,287,2,0.5,85.8713
pdb7p49_A_original_CA_coordinates.csv,276,2,0.5,450.157
pdb1rga_A_original_CA_coordinates.csv,104,2,0.5,21.9295
pdb8cif_H_original_CA_coordinates.csv,255,2,0.5,1073.48
pdb6ir6_A_original_CA_coordinates.csv,232,2,0.5,1360.05
pdb3hpw_A_original_CA_coordinates.csv,101,2,0.5,544.045
pdb4g4q_A_original_CA_coordinates.csv,254,2,0.5,446.011
pdb4zgj_A_original_CA_coordinates.csv,204,2,0.5,1674.42
pdb4p31_A_original_CA_coordinates.csv,230,2,0.5,380.4
pdb6hos_A_original_CA_coordinates.csv,213,2,0.5,667.464
pdb2f8d_A_original_CA_coordinates.csv,221,2,0.5,222.88
pdb2w8h_A_original_CA_coordinates.csv,322,2,0.5,1345.25
pdb8elt_A_original_CA_coordinates.csv,166,2,0.5,453.529
pdb6qi3_A_original_CA_coordinates.csv,298,2,0.5,3811.68
pdb4n2r_A_original_CA_coordinates.csv,306,2,0.5,793
pdb4nnm_A_original_CA_coordinates.csv,111,2,0.5,22.1246
pdb4o04_A_original_CA_coordinates.csv,208,2,0.5,703.113
pdb2jbh_A_original_CA_coordinates.csv,207,2,0.5,1721.94
pdb7xza_A_original_CA_coordinates.csv,443,2,0.5,2817.96
pdb7lco_A_original_CA_coordinates.csv,306,2,0.5,524.711
pdb2y6g_A_original_CA_coordinates.csv,167,2,0.5,1187.51
pdb4jrh_A_original_CA_coordinates.csv,412,2,0.5,1562.26
pdb1qpm_A_original_CA_coordinates.csv,69,2,0.5,19.5792
pdb1roe_A_original_CA_coordinates.csv,97,2,0.5,265.26
pdb6qq9_A_original_CA_coordinates.csv,225,2,0.5,2453.11
pdb3paj_A_original_CA_coordinates.csv,302,2,0.5,1931.04
pdb4hs2_A_original_CA_coordinates.csv,64,2,0.5,47.3747
pdb7m26_A_original_CA_coordinates.csv,258,2,0.5,756
pdb2boj_A_original_CA_coordinates.csv,114,2,0.5,664.436
pdb7b82_A_original_CA_coordinates.csv,105,2,0.5,284.672
pdb8q1n_A_original_CA_coordinates.csv,320,2,0.5,20.9221
pdb7fzt_A_original_CA_coordinates.csv,130,2,0.5,815.964
pdb6ach_A_original_CA_coordinates.csv,364,2,0.5,7721.26
pdb3kae_A_original_CA_coordinates.csv,225,2,0.5,42.5761
pdb5hvy_A_original_CA_coordinates.csv,335,2,0.5,6625.94
pdb6iv7_A_original_CA_coordinates.csv,386,2,0.5,918.517
pdb5n0g_A_original_CA_coordinates.csv,208,2,0.5,1548.78
pdb6g8t_A_original_CA_coordinates.csv,106,2,0.5,352.754
pdb4cn9_A_original_CA_coordinates.csv,397,2,0.5,2722.94
pdb6z2o_A_original_CA_coordinates.csv,354,2,0.5,4927.6
pdb6t5l_A_original_CA_coordinates.csv,224,2,0.5,1403.87
pdb4r66_A_original_CA_coordinates.csv,326,2,0.5,3579.48
pdb5pjt_A_original_CA_coordinates.csv,331,2,0.5,2025.65
pdb6lul_B_original_CA_coordinates.csv,224,2,0.5,2692.97
pdb2rr6_A_original_CA_coordinates.csv,168,2,0.5,18.5519
pdb3ioj_A_original_CA_coordinates.csv,284,2,0.5,128.121
pdb3ckg_A_original_CA_coordinates.csv,236,2,0.5,3328.4
pdb5uav_A_original_CA_coordinates.csv,278,2,0.5,6918.85
pdb8i4j_A_original_CA_coordinates.csv,220,2,0.5,1599.56
pdb6lqo_A_original_CA_coordinates.csv,258,2,0.5,15964.7
pdb3fj1_A_original_CA_coordinates.csv,326,2,0.5,2282.36
pdb4pg7_A_original_CA_coordinates.csv,402,2,0.5,1151.28
pdb2qnl_A_original_CA_coordinates.csv,159,2,0.5,2096.44
pdb5nvg_A_original_CA_coordinates.csv,75,2,0.5,7.69749
