p_pdb_id,Residue length,actual_hinge_cnt,sigma,monge_rate_1
pdb2b44_A_original_CA_coordinates.csv,129,2,0.5,0.924501
pdb6gjy_A_original_CA_coordinates.csv,165,2,0.5,0.937079
pdb3hc4_H_original_CA_coordinates.csv,212,2,0.5,0.941863
pdb7lg4_A_original_CA_coordinates.csv,227,2,0.5,0.946356
pdb2lgh_A_original_CA_coordinates.csv,144,2,0.5,0.938553
pdb7wxl_A_original_CA_coordinates.csv,310,2,0.5,0.904461
pdb7ycq_A_original_CA_coordinates.csv,111,2,0.5,0.906267
pdb5qfq_A_original_CA_coordinates.csv,284,2,0.5,0.916162
pdb4eem_A_original_CA_coordinates.csv,273,2,0.5,0.969309
pdb4whn_A_original_CA_coordinates.csv,170,2,0.5,0.948746
pdb3ju3_A_original_CA_coordinates.csv,113,2,0.5,0.910637
pdb6i62_A_original_CA_coordinates.csv,224,2,0.5,0.866174
pdb4lgn_A_original_CA_coordinates.csv,739,2,0.5,0.961823
pdb4yjv_A_original_CA_coordinates.csv,263,2,0.5,0.945789
pdb2edl_A_original_CA_coordinates.csv,110,2,0.5,0.829507
pdb1zja_A_original_CA_coordinates.csv,557,2,0.5,0.943924
pdb8h63_A_original_CA_coordinates.csv,462,2,0.5,0.952701
pdb1kz1_A_original_CA_coordinates.csv,150,2,0.5,0.940088
pdb6mt3_A_original_CA_coordinates.csv,276,2,0.5,0.933533
pdb4jsf_A_original_CA_coordinates.csv,407,2,0.5,0.974648
pdb5ecw_A_original_CA_coordinates.csv,132,2,0.5,0.965154
pdb7tbr_A_original_CA_coordinates.csv,142,2,0.5,0.845823
pdb6y9f_A_original_CA_coordinates.csv,288,2,0.5,0.896813
pdb8e8j_A_original_CA_coordinates.csv,425,2,0.5,0.878499
pdb3ze8_A_original_CA_coordinates.csv,277,2,0.5,0.938227
pdb2j4m_A_original_CA_coordinates.csv,100,2,0.5,0.950326
pdb2lc9_A_original_CA_coordinates.csv,164,2,0.5,0.91899
pdb2hdj_A_original_CA_coordinates.csv,322,2,0.5,0.956212
pdb3uiq_A_original_CA_coordinates.csv,901,2,0.5,0.742352
pdb3h54_A_original_CA_coordinates.csv,387,2,0.5,0.82469
pdb1j3x_A_original_CA_coordinates.csv,77,2,0.5,0.9534
pdb4q81_A_original_CA_coordinates.csv,257,2,0.5,0.756056
pdb8f7h_A_original_CA_coordinates.csv,428,2,0.5,0.850407
pdb5qzq_A_original_CA_coordinates.csv,237,2,0.5,0.940961
pdb3bvl_A_original_CA_coordinates.csv,172,2,0.5,0.884987
pdb7lsa_A_original_CA_coordinates.csv,760,2,0.5,0.880196
pdb6pvz_A_original_CA_coordinates.csv,188,2,0.5,0.937505
pdb7kua_A_original_CA_coordinates.csv,149,2,0.5,0.918486
pdb4wpn_A_original_CA_coordinates.csv,494,2,0.5,0.930423
pdb5hhj_A_original_CA_coordinates.csv,294,2,0.5,0.866878
pdb4idz_A_original_CA_coordinates.csv,437,2,0.5,0.933567
pdb3nfa_A_original_CA_coordinates.csv,149,2,0.5,0.91206
pdb8j0v_X_original_CA_coordinates.csv,173,2,0.5,0.783284
pdb6z8j_A_original_CA_coordinates.csv,279,2,0.5,0.931204
pdb3mfs_A_original_CA_coordinates.csv,303,2,0.5,0.913967
pdb2bid_A_original_CA_coordinates.csv,197,2,0.5,0.939296
pdb4icy_A_original_CA_coordinates.csv,462,2,0.5,0.874011
pdb4y4b_A_original_CA_coordinates.csv,330,2,0.5,0.905201
pdb4tjw_A_original_CA_coordinates.csv,199,2,0.5,0.885085
pdb5nkl_A_original_CA_coordinates.csv,540,2,0.5,0.902188
pdb5yjk_A_original_CA_coordinates.csv,221,2,0.5,0.842462
pdb5chu_A_original_CA_coordinates.csv,359,2,0.5,0.953105
pdb7ea2_B_original_CA_coordinates.csv,107,2,0.5,0.936449
pdb6gvi_A_original_CA_coordinates.csv,910,2,0.5,0.708178
pdb3k50_A_original_CA_coordinates.csv,376,2,0.5,0.759314
pdb1gx4_A_original_CA_coordinates.csv,287,2,0.5,0.926995
pdb7p49_A_original_CA_coordinates.csv,276,2,0.5,0.893707
