p_pdb_id,Residue length,actual_hinge_cnt,sigma,delta_g
pdb2b44_A_original_CA_coordinates.csv,129,5,0.5,1462.71
pdb6gjy_A_original_CA_coordinates.csv,165,5,0.5,1008.32
pdb3hc4_H_original_CA_coordinates.csv,212,5,0.5,7933.39
pdb7lg4_A_original_CA_coordinates.csv,227,5,0.5,5942.46
pdb2lgh_A_original_CA_coordinates.csv,144,5,0.5,2808.18
pdb7wxl_A_original_CA_coordinates.csv,310,5,0.5,14816.5
pdb5qfq_A_original_CA_coordinates.csv,284,5,0.5,6890.62
pdb4eem_A_original_CA_coordinates.csv,273,5,0.5,7727.67
pdb4whn_A_original_CA_coordinates.csv,170,5,0.5,3508.73
pdb6i62_A_original_CA_coordinates.csv,224,5,0.5,15682.4
pdb4lgn_A_original_CA_coordinates.csv,739,5,0.5,47612.5
pdb4yjv_A_original_CA_coordinates.csv,263,5,0.5,3290.5
pdb1zja_A_original_CA_coordinates.csv,557,5,0.5,21987.8
pdb8h63_A_original_CA_coordinates.csv,462,5,0.5,2453.71
pdb1kz1_A_original_CA_coordinates.csv,150,5,0.5,1631.7
pdb6mt3_A_original_CA_coordinates.csv,276,5,0.5,3764.51
pdb4jsf_A_original_CA_coordinates.csv,407,5,0.5,45027.4
pdb5ecw_A_original_CA_coordinates.csv,132,5,0.5,1997.06
pdb7tbr_A_original_CA_coordinates.csv,142,5,0.5,2275.42
pdb6y9f_A_original_CA_coordinates.csv,288,5,0.5,4635.57
pdb8e8j_A_original_CA_coordinates.csv,425,5,0.5,14168.7
pdb3ze8_A_original_CA_coordinates.csv,277,5,0.5,114.903
pdb2lc9_A_original_CA_coordinates.csv,164,5,0.5,3302.65
pdb2hdj_A_original_CA_coordinates.csv,322,5,0.5,5742.34
pdb3uiq_A_original_CA_coordinates.csv,901,5,0.5,183587
pdb3h54_A_original_CA_coordinates.csv,387,5,0.5,8060.08
pdb4q81_A_original_CA_coordinates.csv,257,5,0.5,16094.3
pdb8f7h_A_original_CA_coordinates.csv,428,5,0.5,4444.98
pdb5qzq_A_original_CA_coordinates.csv,237,5,0.5,14741.6
pdb3bvl_A_original_CA_coordinates.csv,172,5,0.5,2360.62
pdb7lsa_A_original_CA_coordinates.csv,760,5,0.5,3696.24
pdb6pvz_A_original_CA_coordinates.csv,188,5,0.5,545.68
pdb7kua_A_original_CA_coordinates.csv,149,5,0.5,3029.35
pdb4wpn_A_original_CA_coordinates.csv,494,5,0.5,21220.2
pdb5hhj_A_original_CA_coordinates.csv,294,5,0.5,12754.8
pdb4idz_A_original_CA_coordinates.csv,437,5,0.5,1616.56
pdb3nfa_A_original_CA_coordinates.csv,149,5,0.5,4545.01
pdb8j0v_X_original_CA_coordinates.csv,173,5,0.5,4619.05
pdb6z8j_A_original_CA_coordinates.csv,279,5,0.5,11969.9
pdb3mfs_A_original_CA_coordinates.csv,303,5,0.5,11471.2
pdb2bid_A_original_CA_coordinates.csv,197,5,0.5,3655.43
pdb4icy_A_original_CA_coordinates.csv,462,5,0.5,13791.4
pdb4y4b_A_original_CA_coordinates.csv,330,5,0.5,1856.38
pdb4tjw_A_original_CA_coordinates.csv,199,5,0.5,2730.52
pdb5nkl_A_original_CA_coordinates.csv,540,5,0.5,31049.1
pdb5yjk_A_original_CA_coordinates.csv,221,5,0.5,6092.37
pdb5chu_A_original_CA_coordinates.csv,359,5,0.5,5114.01
pdb6gvi_A_original_CA_coordinates.csv,910,5,0.5,51309
pdb3k50_A_original_CA_coordinates.csv,376,5,0.5,7256.91
pdb1gx4_A_original_CA_coordinates.csv,287,5,0.5,4699.05
pdb7p49_A_original_CA_coordinates.csv,276,5,0.5,2325.36
pdb8cif_H_original_CA_coordinates.csv,255,5,0.5,4455.48
pdb6ir6_A_original_CA_coordinates.csv,232,5,0.5,5959.43
pdb4g4q_A_original_CA_coordinates.csv,254,5,0.5,7815.94
pdb4zgj_A_original_CA_coordinates.csv,204,5,0.5,1350.2
pdb4p31_A_original_CA_coordinates.csv,230,5,0.5,4020.68
pdb6hos_A_original_CA_coordinates.csv,213,5,0.5,5163.35
pdb2f8d_A_original_CA_coordinates.csv,221,5,0.5,3180.69
pdb2w8h_A_original_CA_coordinates.csv,322,5,0.5,6920.04
pdb8elt_A_original_CA_coordinates.csv,166,5,0.5,458.451
pdb6qi3_A_original_CA_coordinates.csv,298,5,0.5,16571.7
pdb4n2r_A_original_CA_coordinates.csv,306,5,0.5,5532.07
