p_pdb_id,Residue length,actual_hinge_cnt,sigma,delta_g
pdb2b44_A_original_CA_coordinates.csv,129,4,0.5,1253.5
pdb6gjy_A_original_CA_coordinates.csv,165,4,0.5,2507.59
pdb3hc4_H_original_CA_coordinates.csv,212,4,0.5,2031.74
pdb7lg4_A_original_CA_coordinates.csv,227,4,0.5,3160.15
pdb2lgh_A_original_CA_coordinates.csv,144,4,0.5,2412.39
pdb7wxl_A_original_CA_coordinates.csv,310,4,0.5,4792.59
pdb7ycq_A_original_CA_coordinates.csv,111,4,0.5,3958.83
pdb5qfq_A_original_CA_coordinates.csv,284,4,0.5,9989.48
pdb4eem_A_original_CA_coordinates.csv,273,4,0.5,1089.2
pdb4whn_A_original_CA_coordinates.csv,170,4,0.5,1800.42
pdb3ju3_A_original_CA_coordinates.csv,113,4,0.5,209.216
pdb6i62_A_original_CA_coordinates.csv,224,4,0.5,735.535
pdb4lgn_A_original_CA_coordinates.csv,739,4,0.5,5864.13
pdb4yjv_A_original_CA_coordinates.csv,263,4,0.5,4258.84
pdb2edl_A_original_CA_coordinates.csv,110,4,0.5,5384.04
pdb1zja_A_original_CA_coordinates.csv,557,4,0.5,32645.4
pdb8h63_A_original_CA_coordinates.csv,462,4,0.5,8807.07
pdb1kz1_A_original_CA_coordinates.csv,150,4,0.5,37.7834
pdb6mt3_A_original_CA_coordinates.csv,276,4,0.5,3968.93
pdb4jsf_A_original_CA_coordinates.csv,407,4,0.5,14457.8
pdb5ecw_A_original_CA_coordinates.csv,132,4,0.5,200.304
pdb7tbr_A_original_CA_coordinates.csv,142,4,0.5,657.23
pdb6y9f_A_original_CA_coordinates.csv,288,4,0.5,4703.16
pdb8e8j_A_original_CA_coordinates.csv,425,4,0.5,11398
pdb3ze8_A_original_CA_coordinates.csv,277,4,0.5,1948.82
pdb2lc9_A_original_CA_coordinates.csv,164,4,0.5,1123.35
pdb2hdj_A_original_CA_coordinates.csv,322,4,0.5,2338.53
pdb3uiq_A_original_CA_coordinates.csv,901,4,0.5,35269
pdb3h54_A_original_CA_coordinates.csv,387,4,0.5,5139.22
pdb4q81_A_original_CA_coordinates.csv,257,4,0.5,16805.8
pdb8f7h_A_original_CA_coordinates.csv,428,4,0.5,27348.1
pdb5qzq_A_original_CA_coordinates.csv,237,4,0.5,5093.33
pdb3bvl_A_original_CA_coordinates.csv,172,4,0.5,180.654
pdb7lsa_A_original_CA_coordinates.csv,760,4,0.5,5446.51
pdb6pvz_A_original_CA_coordinates.csv,188,4,0.5,8535.72
pdb7kua_A_original_CA_coordinates.csv,149,4,0.5,626.982
pdb4wpn_A_original_CA_coordinates.csv,494,4,0.5,17903.5
pdb5hhj_A_original_CA_coordinates.csv,294,4,0.5,2173.5
pdb4idz_A_original_CA_coordinates.csv,437,4,0.5,4715.68
